term,count,per_post
type,205,1.6666666666666667
error,128,1.0406504065040652
result,124,1.008130081300813
code,87,0.7073170731707317
using,86,0.6991869918699187
function,76,0.6178861788617886
value,72,0.5853658536585366
like,72,0.5853658536585366
get,65,0.5284552845528455
use,62,0.5040650406504065
example,57,0.4634146341463415
following,54,0.43902439024390244
one,53,0.43089430894308944
work,49,0.3983739837398374
would,49,0.3983739837398374
file,48,0.3902439024390244
object,47,0.3821138211382114
want,44,0.35772357723577236
tried,41,0.3333333333333333
string,39,0.3170731707317073
way,37,0.3008130081300813
return,37,0.3008130081300813
issue,36,0.2926829268292683
first,36,0.2926829268292683
method,36,0.2926829268292683
new,36,0.2926829268292683
...,35,0.2845528455284553
data,35,0.2845528455284553
case,35,0.2845528455284553
page,34,0.2764227642276423
